,sbd,tinh,toan,van,anh,ly,hoa,sinh,su,dia,gdcd
0,01069801,Sở GDĐT Hà Nội,10.00,7.50,7.60,9.50,4.25,7.67,0,0,0
1,01033288,Sở GDĐT Hà Nội,10.00,5.25,4.60,9.00,4.50,7.67,0,0,0
2,01021085,Sở GDĐT Hà Nội,10.00,6.75,0,9.00,7.00,8.08,0,0,0
3,01015650,Sở GDĐT Hà Nội,10.00,4.00,9.00,5.00,5.75,6.08,0,0,0
4,01011361,Sở GDĐT Hà Nội,10.00,6.50,4.20,8.75,8.25,8.67,0,0,0
5,01070758,Sở GDĐT Hà Nội,10.00,7.00,2.00,8.75,5.75,7.42,0,0,0
6,01049466,Sở GDĐT Hà Nội,10.00,6.25,3.40,9.50,5.25,8.17,0,0,0
7,01034490,Sở GDĐT Hà Nội,10.00,6.75,4.40,8.75,4.00,7.17,0,0,0
8,01036718,Sở GDĐT Hà Nội,10.00,5.00,8.60,4.25,5.00,6.00,0,0,0
9,01023421,Sở GDĐT Hà Nội,10.00,6.50,6.00,6.75,7.25,6.33,0,0,0
10,01020236,Sở GDĐT Hà Nội,10.00,6.00,8.00,9.00,6.50,8.08,0,0,0
11,01019991,Sở GDĐT Hà Nội,10.00,7.00,9.60,8.00,6.25,7.83,0,0,0
12,01018527,Sở GDĐT Hà Nội,10.00,6.75,8.40,5.75,6.00,6.58,0,0,0
13,01013313,Sở GDĐT Hà Nội,10.00,8.25,9.00,7.25,6.50,7.58,0,0,0
14,01009915,Sở GDĐT Hà Nội,10.00,8.50,9.00,0,0,0,7.25,9.50,8.58
15,01001526,Sở GDĐT Hà Nội,10.00,7.00,8.80,8.00,6.00,7.50,0,0,0
16,01073815,Sở GDĐT Hà Nội,10.00,7.50,7.20,9.75,3.75,7.50,0,0,0
17,01043402,Sở GDĐT Hà Nội,10.00,5.75,4.40,9.50,5.75,8.00,0,0,0
18,01043409,Sở GDĐT Hà Nội,10.00,8.25,8.60,3.75,4.75,5.83,0,0,0
19,01042742,Sở GDĐT Hà Nội,10.00,7.25,6.00,8.50,5.75,7.75,0,0,0
20,01041474,Sở GDĐT Hà Nội,10.00,7.50,7.40,9.25,6.75,8.08,0,0,0
21,01032717,Sở GDĐT Hà Nội,10.00,7.00,9.00,6.00,6.25,7.17,0,0,0
22,01030038,Sở GDĐT Hà Nội,10.00,7.25,7.40,8.00,6.50,7.42,0,0,0
23,01019236,Sở GDĐT Hà Nội,10.00,7.50,0,9.75,7.50,8.83,0,0,0
24,01019154,Sở GDĐT Hà Nội,10.00,8.00,9.40,8.50,8.00,8.58,0,0,0
25,01011990,Sở GDĐT Hà Nội,10.00,6.50,7.40,6.75,5.00,6.67,0,0,0
26,01071372,Sở GDĐT Hà Nội,10.00,7.00,4.60,10.00,4.00,7.67,0,0,0
27,01072648,Sở GDĐT Hà Nội,10.00,6.75,8.40,7.75,4.50,7.17,0,0,0
28,01068427,Sở GDĐT Hà Nội,10.00,7.75,6.20,9.00,9.50,9.17,0,0,0
29,01025716,Sở GDĐT Hà Nội,10.00,7.00,9.20,9.75,4.50,6.92,0,0,0
30,01019242,Sở GDĐT Hà Nội,10.00,6.17,6.00,9.50,6.25,8.25,0,0,0
31,01018814,Sở GDĐT Hà Nội,10.00,6.00,5.60,9.00,2.00,6.58,0,0,0
32,01019989,Sở GDĐT Hà Nội,10.00,6.75,0,9.50,9.50,8.58,0,0,0
33,01017965,Sở GDĐT Hà Nội,10.00,6.75,8.80,6.00,5.75,6.75,0,0,0
34,01015935,Sở GDĐT Hà Nội,10.00,9.00,10.00,0,0,0,8.50,9.00,8.33
35,01014638,Sở GDĐT Hà Nội,10.00,8.00,9.20,9.50,9.00,8.92,0,0,0
36,01011487,Sở GDĐT Hà Nội,10.00,6.25,8.60,5.00,6.25,6.67,0,0,0
37,01000741,Sở GDĐT Hà Nội,10.00,7.25,8.60,8.75,7.00,8.25,0,0,0
38,01073171,Sở GDĐT Hà Nội,10.00,7.75,8.20,10.00,4.00,7.67,0,0,0
39,01065185,Sở GDĐT Hà Nội,10.00,7.25,5.00,9.75,6.25,8.25,0,0,0
40,01063484,Sở GDĐT Hà Nội,10.00,7.50,8.40,7.75,5.75,7.33,0,0,0
41,01076586,Sở GDĐT Hà Nội,9.80,7.00,7.60,9.50,6.50,8.08,0,0,0
42,01076221,Sở GDĐT Hà Nội,9.80,6.75,4.80,9.75,5.25,7.75,0,0,0
43,01073519,Sở GDĐT Hà Nội,9.80,6.50,4.20,9.75,6.25,8.67,0,0,0
44,01075418,Sở GDĐT Hà Nội,9.80,7.00,5.20,8.75,5.00,7.42,0,0,0
45,01064900,Sở GDĐT Hà Nội,9.80,6.25,5.60,9.00,8.75,8.08,0,0,0
46,01064780,Sở GDĐT Hà Nội,9.80,6.75,4.40,8.50,4.75,7.42,0,0,0
47,01065992,Sở GDĐT Hà Nội,9.80,5.50,7.00,6.25,5.75,6.92,0,0,0
48,01064659,Sở GDĐT Hà Nội,9.80,7.25,7.60,0,0,0,5.50,7.00,6.42
49,01059061,Sở GDĐT Hà Nội,9.80,6.25,3.40,8.25,6.50,7.75,0,0,0
50,01054915,Sở GDĐT Hà Nội,9.80,6.00,4.60,9.50,6.00,7.92,0,0,0
51,01053277,Sở GDĐT Hà Nội,9.80,8.00,8.40,0,0,0,5.50,7.75,7.08
52,01053941,Sở GDĐT Hà Nội,9.80,6.25,5.20,9.75,5.00,7.92,0,0,0
53,01053688,Sở GDĐT Hà Nội,9.80,6.75,5.20,9.25,5.25,7.92,0,0,0
54,01053972,Sở GDĐT Hà Nội,9.80,5.75,3.40,9.50,8.25,7.75,0,0,0
55,01050341,Sở GDĐT Hà Nội,9.80,7.00,8.20,5.75,8.00,7.50,0,0,0
56,01045632,Sở GDĐT Hà Nội,9.80,6.25,5.60,8.25,6.25,7.83,0,0,0
57,01041769,Sở GDĐT Hà Nội,9.80,8.25,0,9.50,10.00,8.67,0,0,0
58,01044757,Sở GDĐT Hà Nội,9.80,6.00,4.00,9.25,3.00,7.08,0,0,0
59,01044064,Sở GDĐT Hà Nội,9.80,0,0,6.50,0,0,0,0,0
60,01038620,Sở GDĐT Hà Nội,9.80,5.75,3.40,8.00,7.25,7.92,0,0,0
61,01034455,Sở GDĐT Hà Nội,9.80,8.25,5.20,8.25,4.25,7.08,0,0,0
62,01035215,Sở GDĐT Hà Nội,9.80,7.50,7.20,5.25,6.50,6.58,0,0,0
