,sbd,tinh,toan,van,anh,ly,hoa,sinh,su,dia,gdcd
0,1000001,S? GDÐT Hà N?i,7,6,0,0,0,0,0,0,0
0,1000002,S? GDÐT Hà N?i,9,6,9.4,8.75,7.25,7.75,0,0,0
0,1000003,S? GDÐT Hà N?i,8.8,6.5,6,8.75,4.75,7.25,0,0,0
0,1000004,S? GDÐT Hà N?i,7,0,8.2,6,0,0,0,0,0
0,1000005,S? GDÐT Hà N?i,9,7.5,9.2,0,0,0,7.25,9.25,8.08
0,1000006,S? GDÐT Hà N?i,7.8,7.75,9.4,0,0,0,0,0,0
0,1000007,S? GDÐT Hà N?i,7.2,7,4.4,0,0,0,5,8.25,6.42
0,1000008,S? GDÐT Hà N?i,3,3,0,0,0,0,6.25,0,0
0,1000009,S? GDÐT Hà N?i,7.4,6.75,4.4,0,0,0,7.25,7,6.25
0,1000010,S? GDÐT Hà N?i,8,6.5,4.6,4.75,5.5,5.08,0,0,0
0,1000011,S? GDÐT Hà N?i,8.4,9,8.8,0,0,0,7.5,9,8.08
0,1000012,S? GDÐT Hà N?i,1.4,4,0,0,0,0,4.25,0,0
0,1000013,S? GDÐT Hà N?i,8.4,6.75,7.6,5.75,5,6.17,0,0,0
0,1000014,S? GDÐT Hà N?i,2.6,7,3.2,0,0,0,6.5,9,7.92
0,1000015,S? GDÐT Hà N?i,8,6.75,7.2,4,7.75,5,0,0,0
0,1000016,S? GDÐT Hà N?i,9,8.5,8,0,0,0,8.25,9,9
0,1000017,S? GDÐT Hà N?i,6.6,5.75,4.4,0,0,0,2.5,7.25,6.83
0,1000018,S? GDÐT Hà N?i,4,6,0,0,0,0,0,0,0
0,1000019,S? GDÐT Hà N?i,7.8,6,6.4,7.75,4.75,6.83,0,0,0
0,1000020,S? GDÐT Hà N?i,8.6,8.75,6.4,4.75,4.5,5.25,0,0,0
0,1000021,S? GDÐT Hà N?i,8.8,7,7,6.75,4,5.42,0,0,0
0,1000022,S? GDÐT Hà N?i,8.8,7.75,9.2,0,0,0,8.25,8.5,8
0,1000023,S? GDÐT Hà N?i,6.8,7,5,0,0,0,5.75,8,6.17
0,1000024,S? GDÐT Hà N?i,7.8,8.5,6,0,0,0,5.75,7,5.92
0,1000025,S? GDÐT Hà N?i,7.4,6.5,6,0,0,0,8,7.75,6.75
0,1000026,S? GDÐT Hà N?i,7.8,7.5,0,0,0,0,6,8,7.17
0,1000027,S? GDÐT Hà N?i,8.4,6.5,6.6,8,6.25,7.33,0,0,0
0,1000028,S? GDÐT Hà N?i,8.8,8,6.4,4.5,3.75,5.67,0,0,0
0,1000029,S? GDÐT Hà N?i,7.8,5.5,6.4,3.75,4,4.75,0,0,0
0,1000030,S? GDÐT Hà N?i,6,6.25,4,0,0,0,6.5,8.75,7.08
0,1000031,S? GDÐT Hà N?i,7.8,7.5,4.2,7.25,5.5,6.25,0,0,0
0,1000032,S? GDÐT Hà N?i,8,5.5,0,0,0,0,0,0,0
0,1000033,S? GDÐT Hà N?i,8.8,7.25,7.8,8.75,7.75,8.17,0,0,0
0,1000034,S? GDÐT Hà N?i,7.2,8.5,7.6,0,0,0,6.5,8.25,7.25
0,1000035,S? GDÐT Hà N?i,8.8,6.25,7.6,8.5,8.5,7.33,0,0,0
0,1000036,S? GDÐT Hà N?i,9.2,8.5,9,0,0,0,8.25,9.5,8.83
0,1000037,S? GDÐT Hà N?i,9.2,6.5,9,5.75,7,6.83,0,0,0
0,1000038,S? GDÐT Hà N?i,9.2,6.75,6.6,8.5,5.5,7.42,0,0,0
0,1000039,S? GDÐT Hà N?i,7.8,6,5,0,0,0,7,7.5,7
0,1000040,S? GDÐT Hà N?i,5.6,5,0,0,0,0,0,0,0
0,1000041,S? GDÐT Hà N?i,8,8,7.6,0,0,0,7.5,7.5,6.75
0,1000042,S? GDÐT Hà N?i,4.2,6.75,0,0,0,0,6.75,0,0
0,1000043,S? GDÐT Hà N?i,8.8,4.5,7.2,7,3,4.33,0,0,0
0,1000044,S? GDÐT Hà N?i,8.4,8.75,8.6,0,0,0,7.75,8,7.58
0,1000045,S? GDÐT Hà N?i,3.4,3.75,0,0,0,0,5.75,0,0
0,1000046,S? GDÐT Hà N?i,3.2,3.5,0,0,0,0,4.75,0,0
0,1000047,S? GDÐT Hà N?i,2.2,7.25,2.4,0,0,0,6,7,6.42
0,1000048,S? GDÐT Hà N?i,8.4,6.75,7.6,0,0,0,7.75,8.25,7.75
0,1000049,S? GDÐT Hà N?i,7.2,7.75,7.4,0,0,0,7.25,8.5,7.42
0,1000050,S? GDÐT Hà N?i,8.8,9,7.8,0,0,0,5.5,6.75,6.5
0,1000051,S? GDÐT Hà N?i,8.2,8,8.8,0,0,0,8,8.5,7.42
0,1000052,S? GDÐT Hà N?i,6.4,6.5,0,0,0,0,5.75,7,6.17
0,1000053,S? GDÐT Hà N?i,4.6,8.5,2.8,0,0,0,5.5,9.75,8.25
0,1000054,S? GDÐT Hà N?i,9,8.75,9,0,0,0,7.75,9.25,9.08
0,1000055,S? GDÐT Hà N?i,7,8.75,6.6,0,0,0,8.25,7.5,6.75
0,1000056,S? GDÐT Hà N?i,8.6,8.75,8.4,0,0,0,8.5,8,8.33
0,1000057,S? GDÐT Hà N?i,8.6,7.5,7,4,5,5.83,0,0,0
0,1000058,S? GDÐT Hà N?i,7,6,0,0,0,0,0,0,0
0,1000059,S? GDÐT Hà N?i,8.2,6,7.8,0,0,0,7.25,8.5,7.5
0,1000060,S? GDÐT Hà N?i,8.8,7.5,7,0,0,0,7.75,8.5,7.08
0,1000061,S? GDÐT Hà N?i,6.6,6.5,4,3.5,2,3.58,0,0,0
0,1000062,S? GDÐT Hà N?i,8.6,9,8.8,0,0,0,7.25,8.5,7.83
0,1000063,S? GDÐT Hà N?i,5.4,7,7.2,0,0,0,8.5,9,8.92
0,1000064,S? GDÐT Hà N?i,7,7.25,8,0,0,0,6.5,7.75,6.58
0,1000065,S? GDÐT Hà N?i,7,6.75,7,6.5,5.75,5.5,0,0,0
0,1000066,S? GDÐT Hà N?i,7.8,6,6.2,0,0,0,6.75,8.5,7.17
0,1000067,S? GDÐT Hà N?i,8,6,7.2,4.75,5.25,5.25,0,0,0
0,1000068,S? GDÐT Hà N?i,8,7.5,7.2,0,0,0,9.5,9.25,9.25
0,1000069,S? GDÐT Hà N?i,8.2,7.75,8.8,0,0,0,8,9.25,8.5
0,1000070,S? GDÐT Hà N?i,7.4,7,6,0,0,0,7.5,6.5,5.92
0,1000071,S? GDÐT Hà N?i,7.4,7,8.6,5,3.75,5.33,0,0,0
0,1000072,S? GDÐT Hà N?i,3.4,5.5,5.4,0,0,0,5.25,7,5.75
0,1000073,S? GDÐT Hà N?i,8,4.5,8.2,8,5.5,6.33,0,0,0
0,1000074,S? GDÐT Hà N?i,8.8,7.5,2.8,0,0,0,7.75,9.25,8
0,1000075,S? GDÐT Hà N?i,7.8,8.25,5.4,0,0,0,7.25,8.75,7.58
0,1000076,S? GDÐT Hà N?i,7,8,6.2,0,0,0,8.5,8.25,7.5
0,1000078,S? GDÐT Hà N?i,9,7.5,7.4,0,0,0,7.5,9,7.83
0,1000079,S? GDÐT Hà N?i,8.8,6.5,5.8,3.25,3.25,4.5,0,0,0
0,1000080,S? GDÐT Hà N?i,6.2,7,7,0,0,0,7,8.5,7.25
0,1000081,S? GDÐT Hà N?i,8,7.5,6.4,0,0,0,7.75,7.75,7.5
0,1000082,S? GDÐT Hà N?i,8.4,7.5,9.8,0,0,0,8,8.5,7.83
0,1000084,S? GDÐT Hà N?i,8,6.75,5.4,0,0,0,7,8,6.75
0,1000085,S? GDÐT Hà N?i,6.2,6.75,5.2,0,0,0,7.25,8.5,7.25
0,1000086,S? GDÐT Hà N?i,8.4,7.25,5.4,0,0,0,6.25,7.5,6.25
0,1000087,S? GDÐT Hà N?i,4.8,7.25,7.2,0,0,0,5.75,7.75,7.17
0,1000088,S? GDÐT Hà N?i,8.8,8,8.4,0,0,0,8.75,9.75,9.42
0,1000089,S? GDÐT Hà N?i,6,7.25,6.4,0,0,0,7.75,9.25,8.67
0,1000090,S? GDÐT Hà N?i,8.4,8,9,0,0,0,7.5,8,7.33
0,1000091,S? GDÐT Hà N?i,8.6,6.25,7.8,5,5.5,6,0,0,0
0,1000092,S? GDÐT Hà N?i,5.8,6.5,0,0,0,0,5.5,7.25,6.42
0,1000093,S? GDÐT Hà N?i,7.4,7,6,0,0,0,7,8.5,7
0,1000094,S? GDÐT Hà N?i,9,8,8.6,0,0,0,6.75,8,6.58
0,1000095,S? GDÐT Hà N?i,8.4,7.5,6.8,0,0,0,6,7.5,6.58
0,1000096,S? GDÐT Hà N?i,7,5.75,7.6,2.25,4.25,4,0,0,0
0,1000097,S? GDÐT Hà N?i,9,7.25,8,0,0,0,7,9,7.5
0,1000098,S? GDÐT Hà N?i,7.8,8.5,5.6,5.25,5.75,5.83,0,0,0
0,1000099,S? GDÐT Hà N?i,8.8,5.75,6,8.25,6.75,7.83,0,0,0
0,1000100,S? GDÐT Hà N?i,6.2,7.75,6.6,0,0,0,6.5,9,8
0,1000101,S? GDÐT Hà N?i,3,5.5,0,0,0,0,6.25,0,0
0,1000102,S? GDÐT Hà N?i,8.4,7.75,6.6,0,0,0,6.75,8.5,7.67
0,1000103,S? GDÐT Hà N?i,3.4,3.75,0,0,0,0,4.5,0,0
0,1000104,S? GDÐT Hà N?i,8.4,6,6,7.25,4.75,6.42,0,0,0
0,1000105,S? GDÐT Hà N?i,8,6.5,9.4,7,6.25,7.17,0,0,0
0,1000106,S? GDÐT Hà N?i,6.8,6,8,0,0,0,6.5,8.75,7.42
0,1000107,S? GDÐT Hà N?i,8.6,7.25,9.4,6,5.5,6.67,0,0,0
0,1000108,S? GDÐT Hà N?i,2.4,3,0,0,0,0,5.5,0,0
0,1000108,S? GDÐT Hà N?i,8,6.25,5.6,0,0,0,6.75,7.75,6.08
0,1000110,S? GDÐT Hà N?i,8.2,8.25,9.2,0,0,0,7.25,9,8.08
0,1000111,S? GDÐT Hà N?i,7.8,7.25,7,0,0,0,5.75,7.75,6.75
0,1000112,S? GDÐT Hà N?i,4.4,7,4.4,0,0,0,6.25,8.75,7
0,1000113,S? GDÐT Hà N?i,7.4,7.5,7,0,0,0,5.75,8,6.67
0,1000114,S? GDÐT Hà N?i,4.4,6.5,3.2,0,0,0,5.5,8,6.67
0,1000115,S? GDÐT Hà N?i,8.2,6.5,8,0,0,0,7.75,8,7
0,1000116,S? GDÐT Hà N?i,7.6,7.5,6.2,0,0,0,0,0,0
0,1000117,S? GDÐT Hà N?i,8.8,7.5,7.6,0,0,0,7,7.75,6.08
0,1000118,S? GDÐT Hà N?i,8.6,8.5,8,0,0,0,6.25,8.25,7.17
0,1000120,S? GDÐT Hà N?i,8.6,9,7.8,0,0,0,7.5,9.25,8.67
0,1000121,S? GDÐT Hà N?i,9.2,6,7.4,5,6.75,6.83,0,0,0
0,1000122,S? GDÐT Hà N?i,8.6,6.25,5.2,4,4.5,5.5,0,0,0
0,1000123,S? GDÐT Hà N?i,3.6,3.75,0,0,0,0,4.25,0,0
0,1000124,S? GDÐT Hà N?i,7.4,6.25,4,4.75,2.5,4.42,0,0,0
0,1000125,S? GDÐT Hà N?i,7.2,8.75,5.2,0,0,0,7.75,9,9.08
0,1000125,S? GDÐT Hà N?i,7.2,8.75,5.2,0,0,0,7.75,9,9.08
0,1000128,S? GDÐT Hà N?i,8.8,7.75,7.4,0,0,0,6.5,7.75,6.58
0,1000130,S? GDÐT Hà N?i,8.6,7.25,6.8,0,0,0,7.75,9.25,8.17
0,1000131,S? GDÐT Hà N?i,8,7.5,8,0,0,0,6.75,8.5,7.83
0,1000131,S? GDÐT Hà N?i,8,7.5,8,0,4,6,0,0,0
0,1000133,S? GDÐT Hà N?i,8,7.5,8.6,0,0,0,0,0,0
0,1000134,S? GDÐT Hà N?i,7.4,6.5,8.8,5.5,5.25,5.83,0,0,0
0,1000136,S? GDÐT Hà N?i,7.2,7.25,7.2,0,0,0,0,0,0
0,1000137,S? GDÐT Hà N?i,7.4,6,5.2,8.25,3,5.08,0,0,0
0,1000138,S? GDÐT Hà N?i,3.2,4.75,0,0,0,0,0,0,0
0,1000138,S? GDÐT Hà N?i,3.2,4.75,0,0,0,0,0,0,0
0,1000139,S? GDÐT Hà N?i,8,9,9.2,0,0,0,8.5,9.25,9.08
0,1000141,S? GDÐT Hà N?i,3.6,7.5,3,0,0,0,7.5,8,7.08
0,1000142,S? GDÐT Hà N?i,7,6.75,4.6,0,0,0,7,9.5,8.17
0,1000143,S? GDÐT Hà N?i,9,7.75,7.6,0,0,0,7,9,8.75
0,1000144,S? GDÐT Hà N?i,8.4,5.75,7.8,4.5,4.5,5,0,0,0
0,1000145,S? GDÐT Hà N?i,4.2,7,3.2,0,0,0,6.5,8.25,6.75
0,1000146,S? GDÐT Hà N?i,8,6.5,8,0,0,0,7.75,9.25,8.42
0,1000147,S? GDÐT Hà N?i,5,8.75,3.4,0,0,0,7.5,9.5,9.42
0,1000148,S? GDÐT Hà N?i,7.2,5.25,3.4,5.25,4.25,5.25,0,0,0
0,1000149,S? GDÐT Hà N?i,8.8,6.25,7.6,9.25,5.75,7,0,0,0
0,1000150,S? GDÐT Hà N?i,9,8,6.8,0,0,0,7.25,7.5,7.25
0,1000151,S? GDÐT Hà N?i,8.4,8,8.4,0,0,0,6.75,8.25,7.58
0,1000151,S? GDÐT Hà N?i,8.4,8,8.4,0,0,0,6.75,8.25,7.58
0,1000154,S? GDÐT Hà N?i,7.6,7,7,0,0,0,0,0,0
0,1000155,S? GDÐT Hà N?i,8.8,7.5,6.2,0,0,0,7.25,7.5,7.08
0,1000155,S? GDÐT Hà N?i,9.4,8.75,8.6,0,0,0,7,7.75,6.75
0,1000157,S? GDÐT Hà N?i,8.4,8.5,9,0,0,0,8,9.5,8.92
0,1000157,S? GDÐT Hà N?i,8.4,8.5,9,0,0,0,8,9.5,8.92
0,1000158,S? GDÐT Hà N?i,8.8,5.75,6.6,9.5,4.5,6.92,7,0,0
0,1000161,S? GDÐT Hà N?i,9,6.25,8.8,7.25,6.25,7.25,0,0,0
0,1000162,S? GDÐT Hà N?i,7.8,7.25,0,0,0,0,7.75,7.5,8
0,1000163,S? GDÐT Hà N?i,7.8,7.5,5.4,0,0,0,6.75,8.75,8
0,1000164,S? GDÐT Hà N?i,8.4,8.75,7.8,0,0,0,8,8.75,8.92
0,1000165,S? GDÐT Hà N?i,8.2,8.75,8.2,0,0,0,6.25,10,8.92
0,1000166,S? GDÐT Hà N?i,8.4,8.25,5.8,0,0,0,8.25,8,6.75
0,1000167,S? GDÐT Hà N?i,9,8,8.6,0,0,0,8.5,9.75,8.92
0,1000168,S? GDÐT Hà N?i,7,7,2.8,0,0,0,6.5,8,6.83
0,1000169,S? GDÐT Hà N?i,9,7.25,5.4,6,7,6.67,0,0,0
0,1000170,S? GDÐT Hà N?i,8.6,6.75,6.4,7.75,7.25,7.42,0,0,0
0,1000171,S? GDÐT Hà N?i,6.6,5.25,4.4,0,0,0,7.5,8.25,7.25
0,1000172,S? GDÐT Hà N?i,9.4,7.75,9,6.5,6,6.83,0,0,0
0,1000173,S? GDÐT Hà N?i,9.4,8,7.4,0,0,0,7.75,8,7.5
0,1000174,S? GDÐT Hà N?i,6.6,6.5,3.4,0,0,0,5.75,8.5,7.42
