,sbd,tinh,toan,van,anh,ly,hoa,sinh,su,dia,gdcd
0,01000001,Sở GDĐT Hà Nội,7.00,6.00,0,0,0,0,0,0,0
0,01000002,Sở GDĐT Hà Nội,9.00,6.00,9.40,8.75,7.25,7.75,0,0,0
0,01000003,Sở GDĐT Hà Nội,8.80,6.50,6.00,8.75,4.75,7.25,0,0,0
0,01000004,Sở GDĐT Hà Nội,7.00,0,8.20,6.00,0,0,0,0,0
0,01000005,Sở GDĐT Hà Nội,9.00,7.50,9.20,0,0,0,7.25,9.25,8.08
0,01000006,Sở GDĐT Hà Nội,7.80,7.75,9.40,0,0,0,0,0,0
0,01000007,Sở GDĐT Hà Nội,7.20,7.00,4.40,0,0,0,5.00,8.25,6.42
0,01000008,Sở GDĐT Hà Nội,3.00,3.00,0,0,0,0,6.25,0,0
0,01000009,Sở GDĐT Hà Nội,7.40,6.75,4.40,0,0,0,7.25,7.00,6.25
0,01000010,Sở GDĐT Hà Nội,8.00,6.50,4.60,4.75,5.50,5.08,0,0,0
0,01000011,Sở GDĐT Hà Nội,8.40,9.00,8.80,0,0,0,7.50,9.00,8.08
0,01000012,Sở GDĐT Hà Nội,1.40,4.00,0,0,0,0,4.25,0,0
0,01000013,Sở GDĐT Hà Nội,8.40,6.75,7.60,5.75,5.00,6.17,0,0,0
0,01000014,Sở GDĐT Hà Nội,2.60,7.00,3.20,0,0,0,6.50,9.00,7.92
0,01000015,Sở GDĐT Hà Nội,8.00,6.75,7.20,4.00,7.75,5.00,0,0,0
0,01000016,Sở GDĐT Hà Nội,9.00,8.50,8.00,0,0,0,8.25,9.00,9.00
0,01000017,Sở GDĐT Hà Nội,6.60,5.75,4.40,0,0,0,2.50,7.25,6.83
0,01000018,Sở GDĐT Hà Nội,4.00,6.00,0,0,0,0,0,0,0
0,01000019,Sở GDĐT Hà Nội,7.80,6.00,6.40,7.75,4.75,6.83,0,0,0
0,01000020,Sở GDĐT Hà Nội,8.60,8.75,6.40,4.75,4.50,5.25,0,0,0
0,01000021,Sở GDĐT Hà Nội,8.80,7.00,7.00,6.75,4.00,5.42,0,0,0
0,01000022,Sở GDĐT Hà Nội,8.80,7.75,9.20,0,0,0,8.25,8.50,8.00
0,01000023,Sở GDĐT Hà Nội,6.80,7.00,5.00,0,0,0,5.75,8.00,6.17
0,01000024,Sở GDĐT Hà Nội,7.80,8.50,6.00,0,0,0,5.75,7.00,5.92
0,01000025,Sở GDĐT Hà Nội,7.40,6.50,6.00,0,0,0,8.00,7.75,6.75
0,01000026,Sở GDĐT Hà Nội,7.80,7.50,0,0,0,0,6.00,8.00,7.17
0,01000027,Sở GDĐT Hà Nội,8.40,6.50,6.60,8.00,6.25,7.33,0,0,0
0,01000028,Sở GDĐT Hà Nội,8.80,8.00,6.40,4.50,3.75,5.67,0,0,0
0,01000029,Sở GDĐT Hà Nội,7.80,5.50,6.40,3.75,4.00,4.75,0,0,0
0,01000030,Sở GDĐT Hà Nội,6.00,6.25,4.00,0,0,0,6.50,8.75,7.08
0,01000031,Sở GDĐT Hà Nội,7.80,7.50,4.20,7.25,5.50,6.25,0,0,0
0,01000032,Sở GDĐT Hà Nội,8.00,5.50,0,0,0,0,0,0,0
0,01000033,Sở GDĐT Hà Nội,8.80,7.25,7.80,8.75,7.75,8.17,0,0,0
0,01000034,Sở GDĐT Hà Nội,7.20,8.50,7.60,0,0,0,6.50,8.25,7.25
0,01000035,Sở GDĐT Hà Nội,8.80,6.25,7.60,8.50,8.50,7.33,0,0,0
0,01000036,Sở GDĐT Hà Nội,9.20,8.50,9.00,0,0,0,8.25,9.50,8.83
0,01000037,Sở GDĐT Hà Nội,9.20,6.50,9.00,5.75,7.00,6.83,0,0,0
0,01000038,Sở GDĐT Hà Nội,9.20,6.75,6.60,8.50,5.50,7.42,0,0,0
0,01000039,Sở GDĐT Hà Nội,7.80,6.00,5.00,0,0,0,7.00,7.50,7.00
0,01000040,Sở GDĐT Hà Nội,5.60,5.00,0,0,0,0,0,0,0
0,01000041,Sở GDĐT Hà Nội,8.00,8.00,7.60,0,0,0,7.50,7.50,6.75
0,01000042,Sở GDĐT Hà Nội,4.20,6.75,0,0,0,0,6.75,0,0
0,01000043,Sở GDĐT Hà Nội,8.80,4.50,7.20,7.00,3.00,4.33,0,0,0
0,01000044,Sở GDĐT Hà Nội,8.40,8.75,8.60,0,0,0,7.75,8.00,7.58
0,01000045,Sở GDĐT Hà Nội,3.40,3.75,0,0,0,0,5.75,0,0
0,01000046,Sở GDĐT Hà Nội,3.20,3.50,0,0,0,0,4.75,0,0
0,01000047,Sở GDĐT Hà Nội,2.20,7.25,2.40,0,0,0,6.00,7.00,6.42
0,01000048,Sở GDĐT Hà Nội,8.40,6.75,7.60,0,0,0,7.75,8.25,7.75
0,01000049,Sở GDĐT Hà Nội,7.20,7.75,7.40,0,0,0,7.25,8.50,7.42
0,01000050,Sở GDĐT Hà Nội,8.80,9.00,7.80,0,0,0,5.50,6.75,6.50
0,01000051,Sở GDĐT Hà Nội,8.20,8.00,8.80,0,0,0,8.00,8.50,7.42
0,01000052,Sở GDĐT Hà Nội,6.40,6.50,0,0,0,0,5.75,7.00,6.17
0,01000053,Sở GDĐT Hà Nội,4.60,8.50,2.80,0,0,0,5.50,9.75,8.25
0,01000054,Sở GDĐT Hà Nội,9.00,8.75,9.00,0,0,0,7.75,9.25,9.08
0,01000055,Sở GDĐT Hà Nội,7.00,8.75,6.60,0,0,0,8.25,7.50,6.75
0,01000056,Sở GDĐT Hà Nội,8.60,8.75,8.40,0,0,0,8.50,8.00,8.33
0,01000057,Sở GDĐT Hà Nội,8.60,7.50,7.00,4.00,5.00,5.83,0,0,0
0,01000058,Sở GDĐT Hà Nội,7.00,6.00,0,0,0,0,0,0,0
0,01000059,Sở GDĐT Hà Nội,8.20,6.00,7.80,0,0,0,7.25,8.50,7.50
0,01000060,Sở GDĐT Hà Nội,8.80,7.50,7.00,0,0,0,7.75,8.50,7.08
0,01000061,Sở GDĐT Hà Nội,6.60,6.50,4.00,3.50,2.00,3.58,0,0,0
0,01000062,Sở GDĐT Hà Nội,8.60,9.00,8.80,0,0,0,7.25,8.50,7.83
0,01000063,Sở GDĐT Hà Nội,5.40,7.00,7.20,0,0,0,8.50,9.00,8.92
0,01000064,Sở GDĐT Hà Nội,7.00,7.25,8.00,0,0,0,6.50,7.75,6.58
0,01000065,Sở GDĐT Hà Nội,7.00,6.75,7.00,6.50,5.75,5.50,0,0,0
0,01000066,Sở GDĐT Hà Nội,7.80,6.00,6.20,0,0,0,6.75,8.50,7.17
